date,transaction,volume,amount,pe,market value,negotiable value,exchange rate
2013-07-15,422.7214,1018474.7237,881.33939329,10.597,145649.3517409888,123649.6463899761,0.4978
2013-07-16,433.097,974003.3601,831.72956129,10.626,146018.9139753602,130431.2933321846,0.4216
2013-07-17,452.3162,1038336.2061,883.4580293,10.52,144531.9534426117,129197.0693811412,0.4503
2013-07-18,417.5714,924422.07,768.65298281,10.41,143043.8656828213,127830.4731280812,0.4016
2013-07-19,482.213,1050083.7538,876.982584,10.255,140896.051544586,126063.4986814078,0.4559
2013-07-22,358.5305,835482.9714,699.603685,10.318,141847.2246965526,126872.6887286268,0.3614
2013-07-23,468.2102,1104065.5512,933.68944524,10.519,144621.1738960884,129283.9832465504,0.4788
2013-07-24,490.6477,1081139.0171,941.47399568,10.463,143739.3926769511,128450.4644170433,0.4647
2013-07-25,451.1837,989572.2672,864.56504696,10.4,143014.8950786851,127849.2753772915,0.4285
2013-07-26,347.9891,743726.8505,657.52832377,10.347,142278.8291761539,127210.9424546103,0.3214
2013-07-29,370.3976,794715.5432,661.43033111,10.168,139839.7213763372,125080.7433762997,0.3433
2013-07-30,347.3164,779234.298,666.99298212,10.242,140827.7263728339,126013.4644494264,0.3371
2013-07-31,312.8553,709940.8522,597.05687133,10.262,141092.0034141929,126252.3956459699,0.3052
2013-08-01,396.0055,922605.8876,779.43283972,10.447,143610.9196654449,128424.0136778038,0.3967
2013-08-02,408.6173,941802.9687,791.16908296,10.448,143649.8025571678,128457.3508308365,0.4071
2013-08-05,374.6097,861842.1516,737.08795644,10.556,145083.6933035773,129673.9721662005,0.3728
2013-08-06,450.6469,1083602.2461,902.22487765,10.606,145851.2224983692,130266.8186845746,0.4602
2013-08-07,474.1093,1083917.796,915.5241225,10.534,144879.876157102,129381.9895747489,0.4684
2013-08-08,384.3378,849072.861,722.92672649,10.524,144746.6237134239,129231.4067741319,0.3658
2013-08-09,431.298,955806.171,831.93776549,10.56,145266.1616713338,129675.2158276967,0.4141
2013-08-12,563.3321,1356682.1716,1167.17064166,10.816,148736.0846845022,132815.3508262499,0.5869
2013-08-13,487.8093,1188872.2679,969.26243515,10.839,149042.8251436828,133153.5188829145,0.5103
2013-08-14,496.7294,1149156.7647,963.02462615,10.809,148667.325779911,132805.8478291953,0.4976
2013-08-15,445.0762,1005730.1538,850.79423516,10.713,147351.2347788674,131664.7978245495,0.4316
